Entity,Code,Year,Life satisfaction,GDP per capita,Population,Continent
Mozambique,MOZ,2020,5.048299789,1229.940308,31178242,Africa
Myanmar,MMR,2020,4.394199848,4857.389648,53423200,Asia
Namibia,NAM,2020,4.459400177,8814.591797,2489099,Africa
Nepal,NPL,2020,5.37650013,3800.065674,29348626,Asia
Netherlands,NLD,2020,7.414899826,54324.38281,17434562,Europe
New Zealand,NZL,2020,7.199800014,42774.69141,5061130,Oceania
Nicaragua,NIC,2020,6.164599895,5280.099609,6755900,North America
Niger,NER,2020,5.003499985,1221.269897,24333644,Africa
Nigeria,NGA,2020,4.552000046,4916.721191,208327408,Africa
North Macedonia,MKD,2020,5.198999882,15931.3623,2111078,Europe
Norway,NOR,2020,7.365099907,63548,5379836,Europe
Oman,OMN,2009,6.852982044,40212.00391,2697543,Asia
Pakistan,PAK,2020,4.515799999,4562.622559,227196736,Asia
Palestine,PSE,2020,4.482500076,5394.071777,5019407,Asia
Panama,PAN,2020,6.309100151,25389.8125,4294391,North America
Paraguay,PRY,2020,5.578299999,12389.58691,6618700,South America
Peru,PER,2020,5.559100151,11260.8457,33304768,South America
Philippines,PHL,2020,5.903600216,7953.581543,112190984,Asia
Poland,POL,2020,6.122799873,32398.70508,38428368,Europe
Portugal,PRT,2020,6.016300201,31961.77539,10298186,Europe
Qatar,QAT,2013,6.374529362,95499.90625,2035509,Asia
Romania,ROU,2020,6.477000237,28870.92969,19442040,Europe
Russia,RUS,2020,5.458600044,26456.38867,145617328,Europe
Rwanda,RWA,2020,3.268199921,2098.710449,13146367,Africa
Saudi Arabia,SAU,2020,6.522799969,44328.18359,35997108,Asia
Senegal,SEN,2020,5.04610014,3320.675537,16436120,Africa
Serbia,SRB,2020,6.177999973,18255.05469,7358010,Europe
Sierra Leone,SLE,2020,3.573999882,1637.296631,8233973,Africa
Singapore,SGP,2020,6.480199814,93397.04688,5909874,Asia
Slovakia,SVK,2020,6.390699863,30509.76953,5456681,Europe
Slovenia,SVN,2020,6.630099773,37050.54688,2117648,Europe
Somalia,SOM,2014,4.667941093,917.8765259,13309236,Africa
South Africa,ZAF,2020,5.193900108,12665.83203,58801928,Africa
South Korea,KOR,2020,5.935100079,42335.86719,51844688,Asia
Spain,ESP,2020,6.476299763,36210.875,47363808,Europe
Sri Lanka,LKA,2020,4.362199783,12536.94141,21715076,Asia
Sudan,SDN,2012,4.138672829,4576.473633,35159792,Africa
Suriname,SUR,2010,6.269286633,18840.36914,546085,South America
Sweden,SWE,2020,7.384300232,50923.10938,10368968,Europe
Switzerland,CHE,2020,7.511600018,68755.4375,8638609,Europe
Tajikistan,TJK,2020,5.377099991,3657.573486,9543211,Asia
Tanzania,TZA,2020,3.702399969,2635.356689,61704520,Africa
Thailand,THA,2020,5.891200066,17284.70117,71475664,Asia
Togo,TGO,2020,4.112299919,2107.877686,8442583,Africa
Trinidad and Tobago,TTO,2015,6.191859722,29053.33398,1460180,North America
Tunisia,TUN,2020,4.515999794,10260.06543,12161720,Africa
Turkey,TUR,2020,4.74420023,28393.4668,84135432,Asia
Turkmenistan,TKM,2019,5.066400051,15538.41992,6158424,Asia
Uganda,UGA,2020,4.602600098,2175.031006,44404608,Africa
Ukraine,UKR,2020,5.08409977,12375.92188,43909664,Europe
United Arab Emirates,ARE,2020,6.576000214,63299.42188,9287286,Asia
United Kingdom,GBR,2020,6.942500114,42675.78125,67059472,Europe
United States,USA,2020,6.976799965,59919.82031,335942016,North America
Uzbekistan,UZB,2020,6.062699795,7331.859863,33526662,Asia
Vietnam,VNM,2020,5.485000134,8200.332031,96648680,Asia
Zambia,ZMB,2020,3.759799957,3277.816406,18927716,Africa
Zimbabwe,ZWE,2020,2.995100021,3353.411377,15669663,Africa
